Code,IUPAC name,CAS #,Empirical Formula,DBE,MW,BP,pKa,logP,Refractive Index,5 µg/mL,10 µg/mL,20 µg/mL,SMILES,ExactMolWt,TPSA,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
RM1,"[3-[3-(3,5-ditert-butyl-4-hydroxyphenyl)propanoyloxy]-2,2-bis[3-(3,5-ditert-butyl-4-hydroxyphenyl)propanoyloxymethyl]propyl] 3-(3,5-ditert-butyl-4-hydroxyphenyl)propanoate",6683-19-8,C73H108O12,20.0,1177.6,779.0,11.71,23.0,,0.0,0.0,0.0,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCC(COC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C)(COC(=O)CCC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)COC(=O)CCC4=CC(=C(C(=C4)C(C)(C)C)O)C(C)(C)C,1176.7840788960002,186.11999999999998,85.0,4.0,12.0,0.0,0.0,0.0,4.0,0.0,4.0,12.0,4.0,12.0,20.0,0.0,0.0,0.0,4.0,15.879199999999962,341.5802000000007
RM2,"octadecyl 3-(3,5-ditert-butyl-4-hydroxyphenyl)propanoate",2082-79-3,C35H62O3,5.0,530.9,568.0,12.33,13.93,,0.326,0.434,0.336,CCCCCCCCCCCCCCCCCCOC(=O)CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,530.469895844,46.53,38.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,20.0,0.0,0.0,0.0,1.0,10.724499999999992,164.33279999999965
RM3,"tris(2,4-ditert-butylphenyl) phosphite",31570-04-4,C42H63O3P,11.5,646.9,361.0,,17.56,,0.414,0.393,0.281,CC(C)(C)C1=CC(=C(C=C1)OP(OC2=C(C=C(C=C2)C(C)(C)C)C(C)(C)C)OC3=C(C=C(C=C3)C(C)(C)C)C(C)(C)C)C(C)(C)C,646.4514825059998,27.69,46.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,4.0,6.0,0.0,0.0,0.0,3.0,13.235299999999976,200.32999999999922
RM4,"2,6-ditert-butyl-4-methylphenol",128-37-0,C15H24O,4.0,220.4,265.0,12.75,5.3,1.499,1.828,2.143,1.81,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,220.182715388,20.23,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.295620000000003,70.24380000000005
RM5,"2,4-ditert-butylphenol",96-76-4,C14H22O,3.0,206.3,264.0,11.56,5.19,1.499,1.0,1.0,1.0,CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,206.167065324,20.23,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.987200000000003,65.50680000000006
RM6,"2,4-dimethylphenol",105-67-9,C8H10O,4.0,122.2,212.0,10.60,2.3,1.54,0.71,0.377,0.424,CC1=CC(=C(C=C1)O)C,122.07316494,20.23,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0090399999999997,37.5808
RM7,2-tert-butyl-4-methoxyphenol,25013-16-5,C11H16O2,4.0,180.2,268.0,10.58,3.5,1.491,0.606,0.506,0.583,CC(C)(C)C1=C(C=CC(=C1)OC)O,180.115029752,29.46,13.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.698300000000001,53.358800000000045
RM8,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",117-81-7,C24H38O4,6.0,390.6,386.0,-6.70,7.6,1.486,0.823,0.824,0.838,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,390.277009696,52.60000000000001,28.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,14.0,0.0,0.0,0.0,1.0,6.433000000000007,113.61900000000009
RM9,"dibutyl benzene-1,2-dicarboxylate",84-74-2,C16H22O4,6.0,278.3,340.0,-6.70,4.5,1.499,0.713,0.744,0.822,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,278.151809184,52.60000000000001,20.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,3.600400000000003,76.82300000000005
RM10,"diphenyl benzene-1,2-dicarboxylate",84-62-8,C20H14O4,14.0,318.3,497.0,,4.1,1.616,0.18,0.437,0.676,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2C(=O)OC3=CC=CC=C3,318.089208928,52.60000000000001,24.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,4.125000000000003,89.24300000000002
